en solde,on sale
américain,American
il a rencontré,he met
rencontrer,to meet
le Français a dit,the Frenchman said
dire,to say
le temps,time
mauvais,bad
la crise,the crisis
état,state
ne … plus,no longer
il veut,he wants
vouloir,to want
vendre,to sell
il a pensé,he thought
penser,to think
installer,to install
la propriété,the property
la Californie,California
l’été suivant,the following summer
homme d’affaires,businessman
il a raconté,he told
raconter,to tell
charmant,charming
la fête,the celebration
il a soldé,he sold off
solder,sale
l’Opéra,the Opera House
riche,rich
Allemand,German
il a passé,he spent
passer,to spend time
le Louvre,the Louvre
anglais,English
il a dit,he said
triste,sad
l’État doit,the state must
devoir,must
il a eu,he had
le livre,the pound
célèbre,famous
le tableau,the painting
diplomate,diplomat
russe,Russian
il a acheté à,he bought from
acheter,to buy
il n’a jamais voulu dire,he never wanted to say
pour combien,for how much
dernier,last
le coup,the blow / coup
il a été,it was
être,to be
les Champs-Élysées,the Champs-Élysées
un certain,a certain
le Texas,Texas
la circulation,traffic
enlever,to remove
l’Arc de Triomphe,Arc de Triomphe
il a donné,he gave
donner,to give
le dollar,the dollar
cette fois,this time
il a fait,he did
faire,to do
une erreur,a mistake
il a pris,he took
devant,in front
la police a vu,the police saw
ils ont pu,they were able to
arrêter,to arrest
la photo,the photo
elle apparaît,she appears
apparaître,to appear
un peu partout,all over the place
ancien,old
la résidence royale,royal residence
le musée,the museum
entièrement,completely
réorganiser,reorganize
elle a été construite,it was built
entouré de,surrounded by
le bassin,the basin
le jet d’eau,the fountain
constituer,to constitute
véritable,true
le palais,the palace
le monument,the monument
gothique,gothic
situé,located
le berceau,the cradle
nombreux,numerous
événement,event
le sacre,coronation
par exemple,for example
l’Exposition universelle,World Fair
un étage,a floor
d’où,from where
courageux,brave
un escalier,a staircase
la marche,step
une étoile,a star
ils partent,they leave
partir,to leave
entre autres,among others
un arc,an arch
le tombeau,the tomb
inconnu,unknown
une arche,arch
la défense,defense
le bâtiment,the building
une époque,an era
le marbre,marble
le verre,glass
se trouver,to be located
quartier d’affaires,business district
à l’ouest de,west of
le compositeur,composer
la victoire,victory
un homme scientifique,a scientist
un écrivain,a writer
il a écrit,he wrote
écrire,to write
Les misérables,Les Misérables
un saint,a saint
la guerre,the war
la pièce de théâtre,play
s’éveiller,to wake up
le dauphin,the crown prince
la place,the square
avoir mauvaise mine,to look unwell
le camion,truck
le balayeur,street sweeper
le balai,broom
le travesti,cross-dresser
se raser,to shave
la strip-teaseuse,stripper
se rhabiller,to get dressed again
le traversin,long pillow
écrasé,flattened
nettoyer,to clean
ne plus que,no more than
une carcasse,skeleton/frame
le banlieusard,suburban resident
trancher,to cut
lard,bacon
regagner,to return
le car,coach bus
le bâtard,bastard
avoir froid,to be cold
ranimer,to revive
dresser,to erect
imprimer,to print
un ouvrier,worker
brimer,to bully
se coucher,to go to bed
avoir sommeil,to be sleepy